5: "ABANIN"
1145: "EL CHORRO"
1150: "EL GOALTAL / LAS JUNTAS"
1155: "EL LIMO /MARIANA DE JESUS"
1160: "ELOY ALFARO"
1165: "EL PARAISO DE CELEN"
1170: "EL PLAYON DE SN. FRANCISCO"
1175: "EL PROGRESO"
1180: "EL ROSARIO"
1185: "EL ROSARIO /RUMICHACA"
1190: "EL TABLON"
1195: "EL CHICAL"
1200: "EL TAMBO"
1205: "TUTINENTZA"
1210: "EMILIO MARIA TERAN"
1215: "EUGENIO ESPEJO"
1220: "EL PROGRESO"
1225: "PROGRESO"
1230: "EL LUCERO"
1235: "DAYUMA"
1240: "EL PORVENIR DEL CARMEN"
1245: "TARACOA"
1250: "CUCHAENTZA"
1255: "FACUNDO VELA"
1260: "FATIMA"
1265: "FEBRES CORDERO"
1270: "FERNANDEZ SALVADOR"
1275: "EL TRIUNFO"
1280: "FLORES"
1285: "EL ENO"
1290: "PACAYACU"
1295: "SAN JOSE DE MORONA"
1300: "SAN JOSE DE ANCON"
1305: "GALERA"
1310: "GARCIA MORENO / LLURIMAGUA"
1315: "GARCIA MORENO"
1320: "GARCIA MORENO"
1325: "BILBAO"
1330: "GENERAL FARFAN"
1335: "GRAL.MORALES / SOCARTE"
1340: "GRAL.PEDRO MONTERO"
1345: "GRAL. PROAÑO"
1350: "GRAL. VERNAZA"
1355: "GIMA"
1360: "GONZALEZ SUAREZ"
1365: "SAN FCO. DE CHINIMBIMI"
1370: "GONZOL"
1375: "QUINCHICOTO"
1380: "GUACHANAMA"
1385: "SARACAY"
1390: "GUADALUPE"
1395: "GUALE/STO.DOMINGO"
1400: "GUALEA"
1405: "GUALEL"
1410: "GUALLETURO"
1415: "GUANANDO"
1420: "GUANAZAN"
1425: "GUIZHAGUIÑA"
1430: "GUANGAJE"
1435: "SAN JACINTO"
1440: "GUANGOPOLO"
1445: "GUAPAN"
1450: "AMARILLOS"
1455: "GUARAINAC"
1460: "GUARE"
1465: "GUASUNTOS"
1470: "GUAYAS / PUERTO NUEVO"
1475: "GUAYLLABAMBA"
1480: "GUAYQUICHUMA"
1485: "GUAYTACAMA"
1490: "GUEL"
1495: "TNTE M.RODRIGUEZ LOAYZA"
1500: "GUASAGANDA"
1505: "SAN JOSE DE CAYAPAS"
1510: "COLON ELOY DE MARIA"
1515: "TIMBIRE"
1520: "MARISCAL SUCRE"
1525: "LA UNION"
1530: "LA UNION"
1535: "LA UNION"
1540: "SUSUDEL"
1545: "LA PILA"
1550: "SANGUILLIN"
1555: "AGUAS NEGRAS"
1560: "EL DORADO"
1565: "INES ARANGO"
1570: "ARQ.SIXTO DURAN BALLEN"
1575: "SAN MARTIN DE PUZHIO"
1585: "LUIS GALARZA O. (DELEGSOL)"
1590: "EL EDEN"
1595: "JUNQUILLAL"
1600: "NOVILLO"
1605: "HONORATO VASQUEZ"
1610: "HONORATO VASQUEZ"
1615: "TONSUPA"
1620: "ZAPALLO"
1625: "HUACHI GRANDE"
1630: "HUAMBALO"
1635: "HUAMBI"
1640: "EL ROSARIO"
1645: "EL AIRO"
1650: "SAN VICENTE"
1655: "HUERTAS"
1660: "HUIGRA"
